dataset_name,dataset_id,category,domain,official_url,official_source_found,secondary_urls,retrieval_date,source_confidence,license_name,license_url,license_summary,commercial_use_allowed,redistribution_allowed,derived_data_allowed,citation_required,requires_login,requires_application,requires_manual_terms_acceptance,auto_download_allowed,download_status,download_command,local_path_candidates,local_path_found,expected_local_structure,file_format,estimated_size_gb,has_trajectories,has_raw_video,has_scene_images,has_annotations,has_agent_type,has_homography,has_metric_coordinates,has_pixel_coordinates,has_scene_map,has_walkable_area,has_obstacles,has_goal_or_destination,has_interaction_labels,has_action_labels,has_egocentric_video,has_exocentric_video,has_multiview,frame_rate,coordinate_unit,estimated_track_length,estimated_t10_samples,estimated_t25_samples,estimated_t50_samples,estimated_t100_samples,can_evaluate_t50,can_evaluate_t100,usable_for_official_eval,usable_for_supervised_training,usable_for_JEPA_pretraining,usable_for_simulation_curriculum,usable_for_diagnostic_only,legal_risk_level,priority_score,priority_group,reason_for_priority,next_action
SyntheticMixedAgents2.5D,syntheticmixedagents2.5d,simulation_and_synthetic,2.5D synthetic crowd/mixed agents,local_project_generator,True,[],2026-05-23,1.0,project-generated,,"Synthetic only. Pretraining/stress test, never real-world success.",True,True,True,True,False,False,False,True,generated_locally_available,,[],[],,unknown,,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,synthetic configurable,synthetic meter,unknown,0,0,0,0,True,True,False,False,True,True,True,low,100,A priority,Controllable hard/failure stress data only.,"Use only as curriculum/stress test, not official real benchmark."
SyntheticPhysicalCrowd2.5D,syntheticphysicalcrowd2.5d,simulation_and_synthetic,2.5D synthetic crowd/mixed agents,local_project_generator,True,[],2026-05-23,1.0,project-generated,,"Synthetic only. Pretraining/stress test, never real-world success.",True,True,True,True,False,False,False,True,generated_locally_available,,[],[],,unknown,,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,synthetic configurable,synthetic meter,unknown,0,0,0,0,True,True,False,False,True,True,True,low,100,A priority,Controllable hard/failure stress data only.,"Use only as curriculum/stress test, not official real benchmark."
UrbanCrowdSim2.5D,urbancrowdsim2.5d,simulation_and_synthetic,2.5D synthetic crowd/mixed agents,local_project_generator,True,[],2026-05-23,1.0,project-generated,,"Synthetic only. Pretraining/stress test, never real-world success.",True,True,True,True,False,False,False,True,generated_locally_available,,[],[],,unknown,,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,synthetic configurable,synthetic meter,unknown,0,0,0,0,True,True,False,False,True,True,True,low,100,A priority,Controllable hard/failure stress data only.,"Use only as curriculum/stress test, not official real benchmark."
OpenTraj supported datasets,opentraj,real_topdown_pedestrian_drone_official_benchmark,human trajectory benchmark aggregator,https://github.com/crowdbotp/OpenTraj,True,['https://arxiv.org/abs/2010.00890'],2026-05-23,0.96,MIT for toolkit; underlying datasets keep their own licenses,https://github.com/crowdbotp/OpenTraj/blob/master/LICENSE.txt,Toolkit is MIT; dataset downloads are license-specific and must be checked individually.,,,,True,False,False,False,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/OpenTraj', '/Users/yangyue/Downloads/World/external_data/OpenTraj']",['/Users/yangyue/Downloads/World/external_data/OpenTraj'],OpenTraj repo with datasets/ or user-provided raw ETH/UCY/SDD/etc.,txt/csv/mat/pickle depending source,20,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,dataset-specific,dataset-specific metric/pixel,dataset-specific,0,0,0,0,True,True,True,True,True,False,True,medium_dataset_specific,95,A priority,Official/open toolkit for multiple human trajectory datasets.,Provide OpenTraj local path or allow toolkit-only clone; verify underlying dataset licenses.
UCY Crowd original,ucy_crowd,real_topdown_pedestrian_drone_official_benchmark,fixed-camera pedestrian crowd,http://graphics.cs.ucy.ac.cy/research/downloads/crowd-data,True,[],2026-05-23,0.84,UCY crowd research terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/UCY', '/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset/data/trajnet_original/crowds']",['/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset/data/trajnet_original/crowds'],crowds_zara*.txt / students*.txt / arxiepiskopi*.txt or original UCY folders,txt,1,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,dataset-specific,pixel/world via homography if provided,unknown,0,0,0,0,True,True,True,True,False,False,True,medium,95,A priority,"Classic pedestrian trajectory source, some local files exist through TrajNet tree.",Verify original UCY path or use local TrajNet-origin UCY subset with source caveat.
full ETH/UCY / EWAP,eth_ucy_full,real_topdown_pedestrian_drone_official_benchmark,fixed/top-down pedestrian,https://icu.ee.ethz.ch/research/datsets.html,True,['https://github.com/vita-epfl/trajnetplusplusdataset'],2026-05-23,0.86,research dataset terms; verify original source,,Use as pedestrian trajectory benchmark only after verifying source files and homography.,,,,True,False,False,False,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/ETH_UCY', '/Users/yangyue/Downloads/World/data/stage12_raw', '/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset/data/ewap_dataset_light.tgz']","['/Users/yangyue/Downloads/World/data/stage12_raw', '/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset/data/ewap_dataset_light.tgz']","seq_eth/seq_hotel with obsmat.txt, H.txt, map.png",txt/tgz,1,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,2.5 fps commonly used for ETH/UCY variants; verify source,world-2D if homography applied; otherwise pixel,EWAP local light tarball supports long tracks,0,0,433,81,True,True,True,True,True,False,True,medium,95,A priority,Existing EWAP light source provides current official t+50 and diagnostic t+100.,Verify full local ETH/UCY path if user has it; keep t+100 diagnostic until enough rows.
Stanford Drone Dataset,stanford_drone,real_topdown_pedestrian_drone_official_benchmark,drone top-down campus pedestrian/mixed agents,https://cvgl.stanford.edu/projects/uav_data/,True,[],2026-05-23,0.98,Stanford SDD non-commercial / custom access terms,https://cvgl.stanford.edu/projects/uav_data/,Non-commercial/license-contact dataset; do not auto-download without user accepting terms.,False,False,True,True,False,False,True,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/StanfordDroneDataset', '/Users/yangyue/Downloads/SDD', '/Users/yangyue/Downloads/World/external_data/StanfordDroneDataset']",['/Users/yangyue/Downloads/World/external_data/StanfordDroneDataset'],annotations/<scene>/video*/annotations.txt plus videos/images,"txt annotations, video/images",80,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,approx 30 fps source video; annotation sampling must be verified,pixel unless homography/scale supplied,long enough for t+50/t+100 if full annotations available,0,0,0,0,True,True,True,True,True,False,True,high_without_manual_terms,90,A priority,Best fit: real drone/top-down multi-agent trajectories with scene imagery.,User must provide local SDD path after accepting Stanford non-commercial terms.
BIWI Walking Pedestrians,biwi_walking_pedestrians,real_topdown_or_fixed_camera_auxiliary,fixed-camera pedestrian,https://icu.ee.ethz.ch/research/datsets.html,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,85,A priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
ETH pedestrian original / BIWI,eth_pedestrian_original_/_biwi,real_topdown_or_fixed_camera_auxiliary,fixed-camera pedestrian,https://icu.ee.ethz.ch/research/datsets.html,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,85,A priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
NGSIM,ngsim,traffic / driving diagnostic only,traffic/driving trajectories,https://ops.fhwa.dot.gov/trafficanalysistools/ngsim.htm,True,[],2026-05-23,0.88,FHWA / ITS Public Data Hub,https://ops.fhwa.dot.gov/trafficanalysistools/ngsim.htm,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,80,A priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
Edinburgh Informatics Forum pedestrian trajectories,edinburgh_informatics_forum_pedestrian_trajectories,real_topdown_or_fixed_camera_auxiliary,fixed-camera crowd,https://homepages.inf.ed.ac.uk/rbf/FORUMTRACKING/,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,75,B priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
Grand Central pedestrian trajectories,grand_central_pedestrian_trajectories,real_topdown_or_fixed_camera_auxiliary,fixed-camera crowd,http://www.ee.cuhk.edu.hk/~xgwang/grandcentral.html,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,75,B priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
PETS 2009 S2L1,pets_2009_s2l1,real_topdown_or_fixed_camera_auxiliary,fixed-camera crowd tracking,http://www.cvg.reading.ac.uk/PETS2009/a.html,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,75,B priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
TownCentre Dataset,towncentre_dataset,real_topdown_or_fixed_camera_auxiliary,surveillance pedestrian,https://www.robots.ox.ac.uk/ActiveVision/Research/Projects/2009bbenfold_headpose/project.html,True,[],2026-05-23,0.75,research dataset terms; verify before use,,license/access status must be verified before use,,,,True,False,False,False,False,not_downloaded_by_agent,,[],[],dataset-specific raw trajectory + scene image/video files,unknown,,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,unknown,world/pixel depending release,unknown,0,0,0,0,True,False,False,True,True,False,True,medium,75,B priority,"Useful auxiliary fixed-camera pedestrian data, not primary drone benchmark.",Verify local path/license if user wants auxiliary training data.
Argoverse Motion Forecasting,argoverse_motion_forecasting,traffic / driving diagnostic only,traffic/driving trajectories,https://www.argoverse.org/,True,[],2026-05-23,0.88,Argoverse terms; verify,https://www.argoverse.org/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
INTERACTION dataset,interaction_dataset,traffic / driving diagnostic only,traffic/driving trajectories,https://interaction-dataset.com/,True,[],2026-05-23,0.88,INTERACTION dataset terms,https://interaction-dataset.com/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
OpenDD,opendd,traffic / driving diagnostic only,traffic/driving trajectories,https://l3pilot.eu/data/opendd.html,True,[],2026-05-23,0.88,CC BY-ND 4.0,https://l3pilot.eu/data/opendd.html,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
TGSIM,tgsim,traffic / driving diagnostic only,traffic/driving trajectories,https://data.transportation.gov/,True,[],2026-05-23,0.88,trajectory data; official portal required,https://data.transportation.gov/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
Waymo Open Motion Dataset,waymo_open_motion_dataset,traffic / driving diagnostic only,traffic/driving trajectories,https://waymo.com/open/,True,[],2026-05-23,0.88,Waymo Open Dataset terms,https://waymo.com/open/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
exiD,exid,traffic / driving diagnostic only,traffic/driving trajectories,https://www.exid-dataset.com/,True,[],2026-05-23,0.88,levelXdata terms; verify,https://www.exid-dataset.com/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
highD,highd,traffic / driving diagnostic only,traffic/driving trajectories,https://www.highd-dataset.com/,True,[],2026-05-23,0.88,levelXdata terms; verify,https://www.highd-dataset.com/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
inD,ind,traffic / driving diagnostic only,traffic/driving trajectories,https://www.ind-dataset.com/,True,[],2026-05-23,0.88,levelXdata terms; verify,https://www.ind-dataset.com/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
nuScenes prediction,nuscenes_prediction,traffic / driving diagnostic only,traffic/driving trajectories,https://www.nuscenes.org/,True,[],2026-05-23,0.88,nuScenes license terms,https://www.nuscenes.org/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
rounD,round,traffic / driving diagnostic only,traffic/driving trajectories,https://www.round-dataset.com/,True,[],2026-05-23,0.88,levelXdata terms; verify,https://www.round-dataset.com/,Traffic diagnostic only. Do not report as pedestrian/drone world-model success.,,,,True,True,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,dataset-specific,metric,unknown,0,0,0,0,True,True,False,False,True,False,True,medium,70,B priority,Diagnostic motion source only; category penalty prevents pedestrian benchmark claims.,Use only if legal local path exists and reports keep traffic separate.
TrajNet++ full datasets,trajnet_full,real_topdown_pedestrian_drone_official_benchmark,interaction-centric pedestrian trajectory forecasting,https://www.epfl.ch/labs/vita/datasets/,True,"['https://github.com/vita-epfl/trajnetplusplusdataset', 'https://www.trajnetchallenge.org/']",2026-05-23,0.95,dataset-specific / challenge terms,,Use local/original files only after preserving original license/citation.,,,,True,False,False,False,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/trajnetplusplusdataset', '/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset']",['/Users/yangyue/Downloads/World/data/stage5b_raw/trajnetplusplusdataset'],"data/trajnet_original/{stanford,biwi,crowds,mot}/*.txt",txt,2,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,varies; many sources use sampled frames,pixel/world-2D depending source,local data can be audited,0,0,0,0,True,True,True,True,False,False,True,medium_dataset_specific,65,B priority,Local raw trajectory tree exists and can be indexed.,Run Stage20 raw-index conversion and horizon/no-leakage audit.
Constrained Stanford Drone Dataset,constrained_sdd,real_topdown_pedestrian_drone_official_benchmark,SDD-derived constrained/off-road polygons,official_source_required,False,[],2026-05-23,0.35,inherits SDD/non-commercial if derived; verify,,license/access status must be verified before use,,,,True,False,False,True,False,not_downloaded_by_agent,,[],[],,unknown,,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,unknown,unknown,unknown,0,0,0,0,True,True,False,False,False,False,True,high_until_official_source_resolved,45,C priority,"Could help scene constraints, but cannot be used without official source/legal clarity.",Locate official project/source or ignore.
EPIC-KITCHENS,epic_kitchens,human_egocentric_video_pretraining,human egocentric video / interaction,https://epic-kitchens.github.io/2023,True,[],2026-05-23,0.9,CC BY-NC 4.0 / non-commercial,https://epic-kitchens.github.io/2023,Representation pretraining only; not top-down trajectory official benchmark.,False,False,True,True,False,False,True,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/EPIC-KITCHENS', '/Users/yangyue/Downloads/EPIC_KITCHENS']",[],,video + metadata/annotations,100,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,40,C priority,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
Assembly101,assembly101,human_egocentric_video_pretraining,human egocentric video / interaction,https://assembly-101.github.io/,True,[],2026-05-23,0.9,research terms; verify,https://assembly-101.github.io/,Representation pretraining only; not top-down trajectory official benchmark.,,False,True,True,True,False,True,False,not_downloaded_by_agent,,['/Users/yangyue/Downloads/Assembly101'],[],,video + metadata/annotations,100,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,30,Reject / diagnostic only,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
Ego-Exo4D,ego_exo4d,human_egocentric_video_pretraining,human egocentric video / interaction,https://docs.ego-exo4d-data.org/,True,[],2026-05-23,0.9,Ego-Exo4D license agreement,https://docs.ego-exo4d-data.org/,Representation pretraining only; not top-down trajectory official benchmark.,False,False,True,True,True,False,True,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/EgoExo4D', '/Users/yangyue/Downloads/ego-exo4d']",[],,video + metadata/annotations,1000,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,30,Reject / diagnostic only,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
Ego4D,ego4d,human_egocentric_video_pretraining,human egocentric video / interaction,https://ego4d-data.org/docs/,True,[],2026-05-23,0.9,Ego4D data usage/license agreement,https://ego4d-data.org/docs/,Representation pretraining only; not top-down trajectory official benchmark.,False,False,True,True,True,False,True,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/Ego4D', '/Users/yangyue/Downloads/ego4d']",[],,video + metadata/annotations,1000,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,30,Reject / diagnostic only,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
HOI4D,hoi4d,human_egocentric_video_pretraining,human egocentric video / interaction,https://hoi4d.github.io/,True,[],2026-05-23,0.9,research terms; verify,https://hoi4d.github.io/,Representation pretraining only; not top-down trajectory official benchmark.,,False,True,True,True,False,True,False,not_downloaded_by_agent,,['/Users/yangyue/Downloads/HOI4D'],[],,video + metadata/annotations,100,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,30,Reject / diagnostic only,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
HoloAssist,holoassist,human_egocentric_video_pretraining,human egocentric video / interaction,https://holoassist.github.io/,True,[],2026-05-23,0.9,research terms; verify,https://holoassist.github.io/,Representation pretraining only; not top-down trajectory official benchmark.,,False,True,True,True,False,True,False,not_downloaded_by_agent,,['/Users/yangyue/Downloads/HoloAssist'],[],,video + metadata/annotations,100,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,unknown,unknown,unknown,0,0,0,0,False,False,False,False,True,False,True,high_without_user_license,30,Reject / diagnostic only,Useful for representation pretraining only; cannot provide top-down trajectory ground truth.,User must obtain official access and provide local path; no scraping or bypass.
AerialMPT longer sequences,aerialmpt_long,real_topdown_pedestrian_drone_official_benchmark,aerial pedestrian tracking,https://www.dlr.de/,False,[],2026-05-23,0.45,unknown,,Official source must be resolved before download or benchmark use.,,,,True,False,True,False,False,not_downloaded_by_agent,,"['/Users/yangyue/Downloads/AerialMPT', '/Users/yangyue/Downloads/World/external_data/AerialMPT']",[],official raw videos/images + tracking annotations,unknown,20,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,unknown,pixel until source verified,unknown,0,0,0,0,True,True,False,False,False,False,True,high_until_official_source_resolved,5,Reject / diagnostic only,"Potentially useful long aerial pedestrian tracks, but source/legal status unresolved.",User should provide official URL/path if available; do not download mirrors.
