model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_probability,intervention_rate,false_intervention_rate,residual_magnitude
scene_only_v2,tgsim,traffic,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim_i90,all,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,hard,1,0.055009,0.055009,0.055009,0.055009,0.0,0.0,0.0,2,0.443372,0.679963,0.7,0.3,1.606149
scene_only_v2,tgsim_i90,hard,10,0.234429,0.44155,0.23601,0.444763,0.007224,0.001023,0.020561,2,0.443372,0.679963,0.7,0.3,1.606149
scene_only_v2,tgsim_i90,hard,25,0.708872,1.639635,0.7099,1.641304,0.001017,-0.00603,0.013326,2,0.443372,0.679963,0.7,0.3,1.606149
scene_only_v2,tgsim_i90,hard,50,2.015529,5.155235,2.017962,5.157442,0.000428,-0.003967,0.006508,2,0.443372,0.679963,0.7,0.3,1.606149
scene_only_v2,tgsim_i90,hard,100,5.885322,14.314168,5.893878,14.324951,0.000753,-0.002128,0.002983,2,0.443372,0.679963,0.7,0.3,1.606149
scene_only_v2,tgsim_i90,extreme,1,0.018304,0.018304,0.018304,0.018304,0.0,0.0,0.0,2,0.496631,0.778752,0.8,0.0,1.486004
scene_only_v2,tgsim_i90,extreme,10,0.134667,0.297249,0.131762,0.291998,-0.017981,-0.027711,-0.008688,2,0.496631,0.778752,0.8,0.0,1.486004
scene_only_v2,tgsim_i90,extreme,25,0.51065,1.23754,0.498986,1.219062,-0.015157,-0.024893,-0.004171,2,0.496631,0.778752,0.8,0.0,1.486004
scene_only_v2,tgsim_i90,extreme,50,1.525416,3.910087,1.511733,3.894658,-0.003962,-0.013256,0.006094,2,0.496631,0.778752,0.8,0.0,1.486004
scene_only_v2,tgsim_i90,extreme,100,4.425923,10.949672,4.44042,10.934811,-0.001359,-0.012469,0.010458,2,0.496631,0.778752,0.8,0.0,1.486004
scene_only_v2,tgsim_i90,baseline_failure,1,0.01938,0.01938,0.01938,0.01938,0.0,0.0,0.0,3,0.499348,0.784373,0.8,0.0,1.466135
scene_only_v2,tgsim_i90,baseline_failure,10,0.136729,0.290331,0.135716,0.288765,-0.005421,-0.027711,0.020561,3,0.499348,0.784373,0.8,0.0,1.466135
scene_only_v2,tgsim_i90,baseline_failure,25,0.499697,1.218095,0.49422,1.211085,-0.005788,-0.024893,0.013326,3,0.499348,0.784373,0.8,0.0,1.466135
scene_only_v2,tgsim_i90,baseline_failure,50,1.536079,4.039944,1.531592,4.039046,-0.000222,-0.013256,0.006508,3,0.499348,0.784373,0.8,0.0,1.466135
scene_only_v2,tgsim_i90,baseline_failure,100,4.632469,11.47565,4.637173,11.456875,-0.001639,-0.012469,0.010458,3,0.499348,0.784373,0.8,0.0,1.466135
scene_only_v2,tgsim_i90,hardbench,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,hardbench,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,hardbench,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,hardbench,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,hardbench,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,traffic,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,traffic,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,traffic,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,traffic,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,traffic,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,inferred_only,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,inferred_only,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,inferred_only,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,inferred_only,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,inferred_only,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,multi_agent,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,multi_agent,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,multi_agent,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,multi_agent,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,multi_agent,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t50,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t50,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t50,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t50,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t50,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t100,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t100,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t100,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t100,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,verified_t100,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,metric,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,metric,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,metric,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,metric,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,metric,100,5.155622,12.63192,5.167149,12.629881,-0.000161,-0.008606,0.007312,4,0.470001,0.729358,0.75,0.15,1.546077
multiagent_only_v2,tgsim,all,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,all,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,all,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,all,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,all,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,easy,1,0.000427,0.000427,0.000427,0.000427,0.0,0.0,0.0,2,0.03,0.048825,0.0,0.0,0.696317
multiagent_only_v2,tgsim,easy,10,0.006716,0.014999,0.006786,0.015132,0.001336,0.000794,0.001878,2,0.03,0.048825,0.0,0.0,0.696317
multiagent_only_v2,tgsim,easy,25,0.018259,0.033698,0.018537,0.034109,0.004117,0.001389,0.006844,2,0.03,0.048825,0.0,0.0,0.696317
multiagent_only_v2,tgsim,easy,50,0.04451,0.083092,0.038184,0.084776,0.016841,-0.136088,0.169769,2,0.03,0.048825,0.0,0.0,0.696317
multiagent_only_v2,tgsim,easy,100,0.981646,4.934126,0.981646,4.934126,0.0,0.0,0.0,2,0.03,0.048825,0.0,0.0,0.696317
multiagent_only_v2,tgsim,medium,1,0.000769,0.000769,0.000769,0.000769,0.0,0.0,0.0,5,0.210949,0.341948,0.28,0.28,0.562311
multiagent_only_v2,tgsim,medium,10,0.011886,0.029085,0.012386,0.029977,0.008923,-0.000863,0.027193,5,0.210949,0.341948,0.28,0.28,0.562311
multiagent_only_v2,tgsim,medium,25,5.357981,12.157345,5.348016,12.138897,-0.00152,-0.190947,0.003619,5,0.210949,0.341948,0.28,0.28,0.562311
multiagent_only_v2,tgsim,medium,50,8.943775,12.712033,8.799873,12.431497,-0.022567,-1.055914,-0.009917,5,0.210949,0.341948,0.28,0.28,0.562311
multiagent_only_v2,tgsim,medium,100,12.205771,20.316957,12.205771,20.316957,0.0,0.0,0.0,5,0.210949,0.341948,0.28,0.28,0.562311
multiagent_only_v2,tgsim,hard,1,0.00039,0.00039,0.00039,0.00039,0.0,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hard,10,0.00361,0.007111,0.003271,0.006484,-0.006274,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hard,25,0.013095,0.024303,0.008318,0.014984,-0.093194,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hard,50,0.0325,0.065372,0.015049,0.030954,-0.344189,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hard,100,0.03161,0.065199,0.03161,0.065199,0.0,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hardbench,1,0.00039,0.00039,0.00039,0.00039,0.0,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hardbench,10,0.00361,0.007111,0.003271,0.006484,-0.006274,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hardbench,25,0.013095,0.024303,0.008318,0.014984,-0.093194,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hardbench,50,0.0325,0.065372,0.015049,0.030954,-0.344189,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,hardbench,100,0.03161,0.065199,0.03161,0.065199,0.0,,,1,0.03,0.074816,0.0,0.0,0.959952
multiagent_only_v2,tgsim,traffic,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,traffic,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,traffic,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,traffic,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,traffic,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,inferred_only,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,inferred_only,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,inferred_only,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,inferred_only,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,inferred_only,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,multi_agent,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,multi_agent,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,multi_agent,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,multi_agent,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,multi_agent,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t50,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t50,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t50,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t50,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t50,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t100,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t100,10,0.009559,0.022817,0.009847,0.023329,0.005126,-0.001603,0.017296,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t100,25,3.35494,7.609803,3.348184,7.597211,-0.001657,-0.130814,0.00157,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t100,50,5.605049,7.973965,5.511348,7.794749,-0.022992,-0.684399,-0.007852,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,verified_t100,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
multiagent_only_v2,tgsim,metric,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.143093,0.235276,0.175,0.175,0.645517
