dataset,model,horizon,ADE,FDE,physical_validity_rate,collision_violation_rate,speed_violation_rate,acceleration_violation_rate
eth_ucy,constant_position,1,0.212298,0.212298,1.0,0.0,0.0,0.0
eth_ucy,constant_position,10,1.099635,1.965124,1.0,0.0,0.0,0.0
eth_ucy,constant_velocity_causal_fd,1,0.084168,0.084168,1.0,0.0,0.0,0.0
eth_ucy,constant_velocity_causal_fd,10,0.395439,0.713643,1.0,0.0,0.0,0.0
eth_ucy,damped_velocity,1,0.084668,0.084668,1.0,0.0,0.0,0.0
eth_ucy,damped_velocity,10,0.407488,0.740925,1.0,0.0,0.0,0.0
eth_ucy,constant_acceleration_causal,1,0.106846,0.106846,1.0,0.0,0.0,0.0
eth_ucy,constant_acceleration_causal,10,1.323404,3.128516,1.0,0.0,0.0,0.0
eth_ucy,constant_turn_rate_velocity,1,0.099191,0.099191,1.0,0.0,0.0,0.0
eth_ucy,constant_turn_rate_velocity,10,0.71314,1.508287,1.0,0.0,0.0,0.0
eth_ucy,identity_hand_physics,1,0.084168,0.084168,1.0,0.0,0.0,0.0
eth_ucy,identity_hand_physics,10,0.395439,0.713643,1.0,0.0,0.0,0.0
eth_ucy,type_specific_kinematic_baseline,1,0.084168,0.084168,1.0,0.0,0.0,0.0
eth_ucy,type_specific_kinematic_baseline,10,0.395439,0.713643,1.0,0.0,0.0,0.0
tgsim,constant_position,1,0.044401,0.044401,1.0,0.0,0.0,0.0
tgsim,constant_position,10,0.275592,0.532163,1.0,0.0,0.0,0.0
tgsim,constant_position,25,0.805941,1.812313,1.0,0.0,0.0,0.0
tgsim,constant_position,50,2.046767,4.684764,1.0,0.0,0.0,0.0
tgsim,constant_position,100,4.762577,10.172171,1.0,0.0,0.0,0.0
tgsim,constant_velocity_causal_fd,1,0.001326,0.001326,1.0,0.0,0.0,0.0
tgsim,constant_velocity_causal_fd,10,0.042997,0.112008,1.0,0.0,0.0,0.0
tgsim,constant_velocity_causal_fd,25,0.257363,0.75285,1.0,0.0,0.0,0.0
tgsim,constant_velocity_causal_fd,50,0.982001,2.62938,1.0,0.0,0.0,0.0
tgsim,constant_velocity_causal_fd,100,2.659638,6.062032,1.0,0.0,0.0,0.0
tgsim,damped_velocity,1,0.001953,0.001953,1.0,0.0,0.0,0.0
tgsim,damped_velocity,10,0.055757,0.143457,1.0,0.0,0.0,0.0
tgsim,damped_velocity,25,0.322374,0.929041,1.0,0.0,0.0,0.0
tgsim,damped_velocity,50,1.20562,3.237187,1.0,0.0,0.0,0.0
tgsim,damped_velocity,100,3.410459,8.024688,1.0,0.0,0.0,0.0
tgsim,constant_acceleration_causal,1,0.000421,0.000421,1.0,0.0,0.0,0.0
tgsim,constant_acceleration_causal,10,0.013823,0.036529,1.0,0.0,0.0,0.0
tgsim,constant_acceleration_causal,25,0.100698,0.313694,1.0,0.0,0.0,0.0
tgsim,constant_acceleration_causal,50,0.377469,0.86981,1.0,0.0,0.0,0.0
tgsim,constant_acceleration_causal,100,1.39754,6.159172,1.0,0.0,0.0,0.0
tgsim,constant_turn_rate_velocity,1,0.001432,0.001432,1.0,0.0,0.0,0.0
tgsim,constant_turn_rate_velocity,10,0.043127,0.11277,1.0,0.0,0.0,0.0
tgsim,constant_turn_rate_velocity,25,0.261513,0.766818,1.0,0.0,0.0,0.0
tgsim,constant_turn_rate_velocity,50,0.994054,2.654557,1.0,0.0,0.0,0.0
tgsim,constant_turn_rate_velocity,100,2.738912,6.389056,1.0,0.0,0.0,0.0
tgsim,identity_hand_physics,1,0.001326,0.001326,1.0,0.0,0.0,0.0
tgsim,identity_hand_physics,10,0.042997,0.112008,1.0,0.0,0.0,0.0
tgsim,identity_hand_physics,25,0.257363,0.75285,1.0,0.0,0.0,0.0
tgsim,identity_hand_physics,50,0.982001,2.62938,1.0,0.0,0.0,0.0
tgsim,identity_hand_physics,100,2.659638,6.062032,1.0,0.0,0.0,0.0
tgsim,type_specific_kinematic_baseline,1,0.001326,0.001326,1.0,0.0,0.0,0.0
tgsim,type_specific_kinematic_baseline,10,0.042997,0.112008,1.0,0.0,0.0,0.0
tgsim,type_specific_kinematic_baseline,25,0.257363,0.75285,1.0,0.0,0.0,0.0
tgsim,type_specific_kinematic_baseline,50,0.982001,2.62938,1.0,0.0,0.0,0.0
tgsim,type_specific_kinematic_baseline,100,2.659638,6.062032,1.0,0.0,0.0,0.0
tgsim_i90,constant_position,1,0.413118,0.413118,1.0,0.0,0.0,0.0
tgsim_i90,constant_position,10,2.235438,4.0383,1.0,0.0,0.0,0.0
tgsim_i90,constant_position,25,5.237348,10.083365,1.0,0.0,0.0,0.0
tgsim_i90,constant_position,50,10.424263,20.992818,1.0,0.0,0.0,0.0
tgsim_i90,constant_position,100,22.362069,47.74235,1.0,0.0,0.0,0.0
tgsim_i90,constant_velocity_causal_fd,1,0.006646,0.006646,1.0,0.0,0.0,0.0
tgsim_i90,constant_velocity_causal_fd,10,0.11102,0.273352,1.0,0.0,0.0,0.0
tgsim_i90,constant_velocity_causal_fd,25,0.593701,1.598133,1.0,0.0,0.0,0.0
tgsim_i90,constant_velocity_causal_fd,50,1.863436,4.548539,1.0,0.0,0.0,0.0
tgsim_i90,constant_velocity_causal_fd,100,4.693825,10.327657,1.0,0.0,0.0,0.0
tgsim_i90,damped_velocity,1,0.008266,0.008266,1.0,0.0,0.0,0.0
tgsim_i90,damped_velocity,10,0.140708,0.334835,1.0,0.0,0.0,0.0
tgsim_i90,damped_velocity,25,0.704333,1.900726,1.0,0.0,0.0,0.0
tgsim_i90,damped_velocity,50,2.408865,6.722322,1.0,0.0,0.0,0.0
tgsim_i90,damped_velocity,100,9.262004,26.650848,1.0,0.0,0.0,0.0
tgsim_i90,constant_acceleration_causal,1,0.007735,0.007735,0.990889,0.0,0.027333,0.0
tgsim_i90,constant_acceleration_causal,10,0.176242,0.444857,0.990889,0.0,0.027333,0.0
tgsim_i90,constant_acceleration_causal,25,0.988352,2.742368,0.990889,0.0,0.027333,0.0
tgsim_i90,constant_acceleration_causal,50,3.582545,10.062004,0.990889,0.0,0.027333,0.0
tgsim_i90,constant_acceleration_causal,100,13.984517,41.617355,0.990889,0.0,0.027333,0.0
tgsim_i90,constant_turn_rate_velocity,1,0.010928,0.010928,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,10,0.224472,0.552877,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,25,1.162193,3.132374,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,50,3.835012,9.943989,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,100,11.339391,27.995514,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,1,0.006646,0.006646,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,10,0.11102,0.273352,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,25,0.593701,1.598133,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,50,1.863436,4.548539,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,100,4.693825,10.327657,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,1,0.006646,0.006646,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,10,0.11102,0.273352,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,25,0.593701,1.598133,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,50,1.863436,4.548539,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,100,4.693825,10.327657,1.0,0.0,0.0,0.0
trajnet,constant_position,1,0.41539,0.41539,1.0,0.0,0.0,0.0
trajnet,constant_position,10,2.327474,4.299039,1.0,0.0,0.0,0.0
trajnet,constant_velocity_causal_fd,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,constant_velocity_causal_fd,10,0.82033,1.434586,1.0,0.0,0.0,0.0
trajnet,damped_velocity,1,0.059884,0.059884,1.0,0.0,0.0,0.0
trajnet,damped_velocity,10,0.829585,1.482754,1.0,0.0,0.0,0.0
trajnet,constant_acceleration_causal,1,0.101203,0.101203,1.0,0.0,0.0,0.0
trajnet,constant_acceleration_causal,10,2.466248,5.906145,1.0,0.0,0.0,0.0
trajnet,constant_turn_rate_velocity,1,0.114902,0.114902,1.0,0.0,0.0,0.0
trajnet,constant_turn_rate_velocity,10,1.650209,3.433186,1.0,0.0,0.0,0.0
trajnet,identity_hand_physics,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,identity_hand_physics,10,0.82033,1.434586,1.0,0.0,0.0,0.0
trajnet,type_specific_kinematic_baseline,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,type_specific_kinematic_baseline,10,0.82033,1.434586,1.0,0.0,0.0,0.0
