rank,mode,min_sep,margin,alpha,safe_min_sep,strength,val_score,val_all,val_t50,val_hard,val_easy,val_base_near005,val_final_near005
1,repel_unsafe,0.08,0.0,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
2,repel_unsafe,0.08,0.005,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
3,repel_unsafe,0.08,0.01,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
4,repel_unsafe,0.08,0.0,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
5,repel_unsafe,0.08,0.005,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
6,repel_unsafe,0.08,0.01,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
7,repel_unsafe,0.12,0.0,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
8,repel_unsafe,0.12,0.005,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
9,repel_unsafe,0.12,0.01,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
10,repel_unsafe,0.05,0.0,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
11,repel_unsafe,0.05,0.005,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
12,repel_unsafe,0.05,0.01,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
13,repel_unsafe,0.05,0.0,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
14,repel_unsafe,0.05,0.005,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
15,repel_unsafe,0.05,0.01,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
16,repel_unsafe,0.02,0.0,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
17,repel_unsafe,0.02,0.005,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
18,repel_unsafe,0.02,0.01,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
19,repel_unsafe,0.02,0.0,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
20,repel_unsafe,0.02,0.005,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
21,repel_unsafe,0.02,0.01,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
22,blend_unsafe,0.02,0.01,0.75,,,1.9055639994418996,0.4407446874451737,0.47350798153640206,0.4364300432908722,-0.2874272837926436,0.015512022868673281,0.015427946863965024
23,blend_unsafe,0.02,0.005,0.75,,,1.9055011416879999,0.4407294652980762,0.47350798153640206,0.43641407613508776,-0.2874272837926436,0.015512022868673281,0.015427946863965024
24,blend_unsafe,0.02,0.0,0.75,,,1.9054833972954857,0.44072511890602317,0.47350798153640206,0.43640951702009756,-0.2874272837926436,0.015512022868673281,0.015385908861610896
25,blend_unsafe,0.02,0.01,0.5,,,1.9045107042319138,0.44052739890402737,0.47324973988504937,0.43620574605109286,-0.2874272837926436,0.015512022868673281,0.015133680847486128
26,blend_unsafe,0.02,0.005,0.5,,,1.9043832593680532,0.4404964240397826,0.47324973988504937,0.4361732552020926,-0.2874272837926436,0.015512022868673281,0.015133680847486128
27,blend_unsafe,0.02,0.0,0.5,,,1.9043292560717597,0.4404831962272405,0.47324973988504937,0.436159379988419,-0.2874272837926436,0.015512022868673281,0.015133680847486128
28,blend_unsafe,0.02,0.01,0.25,,,1.9032482358015894,0.4402690672710886,0.47292078806252624,0.4359388138834275,-0.2874272837926436,0.015512022868673281,0.014755338826298973
29,blend_unsafe,0.02,0.005,0.25,,,1.9030546705537033,0.4402218558943505,0.47292078806252624,0.43588929186775116,-0.2874272837926436,0.015512022868673281,0.014713300823944847
30,blend_unsafe,0.02,0.0,0.25,,,1.902963092020566,0.44019942423272307,0.47292078806252624,0.43586576234636254,-0.2874272837926436,0.015512022868673281,0.014671262821590718
31,fallback_unsafe,0.02,0.01,,,,1.9018750155449233,0.4399844456835512,0.4725550737737725,0.4356449618053104,-0.2874272837926436,0.015512022868673281,0.01416680679334118
32,fallback_unsafe,0.02,0.005,,,,1.9016142819145994,0.43992022968778954,0.4725550737737725,0.4355776029234374,-0.2874272837926436,0.015512022868673281,0.014124768790987053
33,fallback_unsafe,0.02,0.0,,,,1.9014853705768526,0.43988855058973764,0.4725550737737725,0.43554437337372454,-0.2874272837926436,0.015512022868673281,0.014082730788632924
34,blend_unsafe,0.05,0.01,0.75,,,1.901307499279431,0.43987121921616856,0.4724782624122832,0.43551552277413097,-0.2872018917478142,0.015512022868673281,0.010929880612073315
35,blend_unsafe,0.05,0.005,0.75,,,1.900950473567591,0.4398123154972833,0.47232656024224395,0.4354537361648101,-0.2871578735374264,0.015512022868673281,0.010845804607365058
36,blend_unsafe,0.05,0.0,0.75,,,1.9007515899422407,0.43978052327684625,0.4722413054491359,0.43542038795622895,-0.2871578735374264,0.015512022868673281,0.010761728602656801
37,blend_unsafe,0.05,0.01,0.5,,,1.8934517313139418,0.4383568173626554,0.4700326061696335,0.4339332147325401,-0.28674852782927696,0.015512022868673281,0.008281486463763242
38,blend_unsafe,0.05,0.005,0.5,,,1.8926599709411804,0.4382248829207358,0.4696979204043351,0.43379482310000617,-0.28662594475086434,0.015512022868673281,0.007987220447284345
39,blend_unsafe,0.05,0.0,0.5,,,1.8922000381825377,0.4381507150826711,0.4695036195944453,0.4337170253086037,-0.28662594475086434,0.015512022868673281,0.007987220447284345
40,blend_unsafe,0.08,0.01,0.75,,,1.8920503956906598,0.43773614921036674,0.4705897741860815,0.43336694504632756,-0.2868596056821455,0.015512022868673281,0.011518412645031109
41,blend_unsafe,0.08,0.005,0.75,,,1.8894539000348085,0.43716478481872234,0.46986673225384923,0.4327750551048445,-0.28687431789419104,0.015512022868673281,0.011392298637968723
42,blend_unsafe,0.08,0.0,0.75,,,1.88672466318924,0.43649871459155065,0.4692828084943248,0.43207638579015084,-0.286833832916217,0.015512022868673281,0.011392298637968723
43,repel_unsafe,0.12,0.0,,,0.5,1.8865907405877766,0.4352318079936791,0.472051119079512,0.43083592465325604,-0.2832685719887328,0.015512022868673281,0.004413990247183454
44,repel_unsafe,0.12,0.005,,,0.5,1.8865907405877766,0.4352318079936791,0.472051119079512,0.43083592465325604,-0.2832685719887328,0.015512022868673281,0.004413990247183454
45,repel_unsafe,0.12,0.01,,,0.5,1.8865907405877766,0.4352318079936791,0.472051119079512,0.43083592465325604,-0.2832685719887328,0.015512022868673281,0.004413990247183454
46,blend_unsafe,0.05,0.01,0.25,,,1.8838084754251974,0.43654008917739295,0.46680017572998345,0.4320354008124455,-0.2861898064801599,0.015512022868673281,0.006642004371952245
47,blend_unsafe,0.05,0.005,0.25,,,1.8825304494399226,0.436325243884943,0.4662638809533908,0.4318100404718721,-0.28595361082676096,0.015512022868673281,0.0062216243484109635
48,blend_unsafe,0.05,0.0,0.25,,,1.881775043307617,0.4362037554542906,0.4659425740554495,0.43168260610365594,-0.28595361082676096,0.015512022868673281,0.006179586346056835
49,blend_unsafe,0.12,0.01,0.75,,,1.8754460514151543,0.4337163969644491,0.46784506325833963,0.4292273162232919,-0.2878838763471555,0.015512022868673281,0.011938792668572389
50,fallback_unsafe,0.05,0.01,,,,1.8731475344542978,0.43452891815616623,0.46308488776965484,0.42993588116488335,-0.28558043564692204,0.015512022868673281,0.004876408273078863
51,fallback_unsafe,0.05,0.005,,,,1.87134627382193,0.4342224195497444,0.4623323819200189,0.42961438177552824,-0.2851966165750067,0.015512022868673281,0.004456028249537582
52,fallback_unsafe,0.05,0.0,,,,1.8702784374001327,0.43405045971559775,0.4618723927882623,0.4294340058112873,-0.2851966165750067,0.015512022868673281,0.004371952244829325
53,blend_unsafe,0.08,0.01,0.5,,,1.8694106543535498,0.4331160292854497,0.46383430996847363,0.4286421099598904,-0.28552702912049166,0.015512022868673281,0.009038170506137548
54,blend_unsafe,0.12,0.005,0.75,,,1.8664283810530793,0.43142476703834554,0.46615697916255505,0.42691415127586496,-0.2876577559885959,0.015512022868673281,0.011854716663864133
55,blend_unsafe,0.08,0.005,0.5,,,1.863553265621189,0.431819965140835,0.462196214625506,0.4272976378660114,-0.2854374775794283,0.015512022868673281,0.008827980494366908
56,blend_unsafe,0.08,0.0,0.5,,,1.8570962785165237,0.4302827160270746,0.460672093724247,0.4256851520634478,-0.2851534956181514,0.015512022868673281,0.00878594249201278
57,blend_unsafe,0.12,0.0,0.75,,,1.8548601478698419,0.4284556593872567,0.4641626942253272,0.4238767961882428,-0.28751231744023087,0.015512022868673281,0.011854716663864133
58,blend_unsafe,0.08,0.01,0.25,,,1.8415234562957525,0.4275856394122989,0.45477840963596383,0.4229837975859765,-0.2836766892574878,0.015512022868673281,0.007272574407264167
59,predicted_safe_only,0.02,0.0,,0.02,,1.8370002157278056,0.4252133216953198,0.4591911019892396,0.42038217162643243,-0.2800704993855666,0.015512022868673281,0.013326046746258619
60,predicted_safe_only,0.02,0.005,,0.02,,1.8370002157278056,0.4252133216953198,0.4591911019892396,0.42038217162643243,-0.2800704993855666,0.015512022868673281,0.013326046746258619
61,predicted_safe_only,0.02,0.01,,0.02,,1.8370002157278056,0.4252133216953198,0.4591911019892396,0.42038217162643243,-0.2800704993855666,0.015512022868673281,0.013326046746258619
62,blend_unsafe,0.08,0.005,0.25,,,1.8319967230304692,0.42547511517977776,0.4520972071014232,0.4207927130399337,-0.28338151271156575,0.015512022868673281,0.007104422397847654
63,blend_unsafe,0.12,0.01,0.5,,,1.8251163809777713,0.4229180944100741,0.4539377816854707,0.41816589632160217,-0.2852405372843978,0.015512022868673281,0.009416512527324701
64,blend_unsafe,0.08,0.0,0.25,,,1.8212553904552526,0.4229567605261978,0.449422332676354,0.41815110402004985,-0.28266524937714443,0.015512022868673281,0.0070623843954935265
65,fallback_unsafe,0.08,0.01,,,,1.8107347989930291,0.42147570567754045,0.4443396560989239,0.41673058260290774,-0.2814312494800322,0.015512022868673281,0.005759206322515554
66,blend_unsafe,0.12,0.005,0.5,,,1.8042831347803174,0.41769126019937397,0.4497227643473316,0.4128861539234365,-0.2846179131772193,0.015512022868673281,0.009290398520262318
67,fallback_unsafe,0.08,0.005,,,,1.797319365394599,0.4184919618940215,0.4405216163105844,0.4136313540002877,-0.2808197569757488,0.015512022868673281,0.005591054313099041
68,predicted_safe_only,0.05,0.0,,0.05,,1.791268864610577,0.41603965663030607,0.44585345199274284,0.4108261717114443,-0.27449996588915004,0.015512022868673281,0.007272574407264167
69,predicted_safe_only,0.05,0.005,,0.05,,1.791268864610577,0.41603965663030607,0.44585345199274284,0.4108261717114443,-0.27449996588915004,0.015512022868673281,0.007272574407264167
70,predicted_safe_only,0.05,0.01,,0.05,,1.791268864610577,0.41603965663030607,0.44585345199274284,0.4108261717114443,-0.27449996588915004,0.015512022868673281,0.007272574407264167
71,fallback_unsafe,0.08,0.0,,,,1.782041618715588,0.41492554053242736,0.4365771164980635,0.409890383353401,-0.27957040105047526,0.015512022868673281,0.005549016310744914
72,blend_unsafe,0.12,0.0,0.5,,,1.7769592713582163,0.4108187400011216,0.4443733174855664,0.4058700440010006,-0.2834320377032652,0.015512022868673281,0.009122246510845805
73,blend_unsafe,0.12,0.01,0.25,,,1.7634977931377112,0.4100442010875529,0.4353123633076619,0.40499190198029666,-0.2800117731089514,0.015512022868673281,0.007272574407264167
74,blend_unsafe,0.12,0.005,0.25,,,1.7293613707940352,0.4015464795364636,0.42811919156177203,0.39640663142958366,-0.2788588783017498,0.015512022868673281,0.007314612409618295
75,fallback_unsafe,0.12,0.01,,,,1.6963924425001216,0.39597387056503597,0.41417552437945726,0.39060635914078534,-0.2730981633059766,0.015512022868673281,0.0058432823272238105
76,blend_unsafe,0.12,0.0,0.25,,,1.6842746665086221,0.39032488438963464,0.41876614464176865,0.3849638908883062,-0.27617750065737456,0.015512022868673281,0.007104422397847654
77,predicted_safe_only,0.08,0.0,,0.08,,1.6631300483158307,0.3886363775809437,0.4099798994898012,0.3826486719148591,-0.2693578265111528,0.015512022868673281,0.008954094501429291
78,predicted_safe_only,0.08,0.005,,0.08,,1.6631300483158307,0.3886363775809437,0.4099798994898012,0.3826486719148591,-0.2693578265111528,0.015512022868673281,0.008954094501429291
79,predicted_safe_only,0.08,0.01,,0.08,,1.6631300483158307,0.3886363775809437,0.4099798994898012,0.3826486719148591,-0.2693578265111528,0.015512022868673281,0.008954094501429291
80,fallback_unsafe,0.12,0.005,,,,1.648270551464021,0.3839905786886212,0.40373291533203204,0.3785055919883299,-0.2712649787861767,0.015512022868673281,0.005759206322515554
81,fallback_unsafe,0.12,0.0,,,,1.5846396341044229,0.3681663700296606,0.39005178637634796,0.3623808071986345,-0.26689457461198907,0.015512022868673281,0.005549016310744914
82,predicted_safe_only,0.12,0.0,,0.12,,1.3031304082608668,0.30625100464164545,0.31605005613590176,0.29890774056462677,-0.24842565490242308,0.015512022868673281,0.011770640659155876
83,predicted_safe_only,0.12,0.005,,0.12,,1.3031304082608668,0.30625100464164545,0.31605005613590176,0.29890774056462677,-0.24842565490242308,0.015512022868673281,0.011770640659155876
84,predicted_safe_only,0.12,0.01,,0.12,,1.3031304082608668,0.30625100464164545,0.31605005613590176,0.29890774056462677,-0.24842565490242308,0.015512022868673281,0.011770640659155876
